Drug Name,Condition,Rating,Content
Ulipristal,Emergency Contraception,5,"Ella (ulipristal)""So 2 days ago I took it again after a incident. Surprising that day side effects were a lot less I only had tiredness and abdominal pain. Went to bed and the next morning was feeling fine. However as I was going through the second day I started getting headaches, feeling dizzy and very hot. I sat down and during the afternoon I felt weak, back and leg ache and abdominal pain. My temperature continued to rise and I begun to feel nauseous. I went to bed to try and sleep it off but got shaky and could not stop the shakes. Even though my head was hot my body was shaking. I have woke this morning and have a very bad headache and hotness , I am hoping these are the only side effect today. It has alarmed me this pill has hit me worse the second day and the side have continued. The pill does work in preventing pregnancy but I will never take again after feeling this way, it scared me too much."""
Belsomra,Insomnia,2,"""My insomnia has gotten out of hand recently and diphenhydramine and melatonin were no longer working for me. I received the sample pack of suvorexant from my doctor. I took 20 mg and it had absolutely no effect on me at all. Took a few hours to go to bed and woke up less than 4 hours later. What a joke! Maybe it works for others and maybe I have some problem with my thyroid for example (still waiting to receive results from my bloods) that causes this not to work for me."""
Epclusa,Hepatitis C,10,"""I am on week 11 of 12. Almost done!
I have genotype 3a. I have only had hep c for two years, but it's been a rough two years. I already have stage two liver fibrosis, as well as fatty liver disease, not to mention my liver enzymes had consistently stayed in around 90 and 200. I learned that genotype 3 can be very aggressive.
Even though my doctor told me this medicine, should work great for me, I was still worried it wouldn't work for me.
The first couple of weeks taking epclusa I was more fatigued than usual, but that side effect subsided. I haven't really had any other side effects at all! 
since 6 weeks in, my viral load is undetectable, and my liver enzymes are back to normal levels for the first time in 2 years!"""
Hydrocodone and Acetaminophen,Back Pain,9,"Vicodin (acetaminophen / hydrocodone)""I have been diagnosed with severe chronic pain due to herniated disc which causes sciatica.   I have tried everything over the counter... NOTHING WORKS.  Yet, one Vicodin and the pain finally went away.   Unfortunately only temporary."""
Estradiol,Oophorectomy,1,"Vivelle-Dot (estradiol)""I had a complete hysterectomy but this gave me no relief of hot flashes at all.  I feel tired all the time and gained 10 lbs.  I have been using the Vivelle Dot .05 mg patches for months and thought I would be feeling better by now.  Going back to the Dr to get something else because these patches are useless."""
Venlafaxine,Anxiety and StressOff-label,8,"Effexor XR (venlafaxine)""I was prescribed this medicine after being hospitalized in a mental facility. I was previously taking Zoloft and Wellbutrin which stopped working for me and the increase in dosage led to increase in depression and anxiety. I have to say Effexor beats any anxiety medicines I have ever taken. This medicine makes me feel normal. The only down side is the side effect your body has if you miss a dosage. I began to feel light headed and very emotional if I miss more that 1 dose."""
Nivolumab,Non-Small Cell Lung Cancer,1,"Opdivo (nivolumab)""Opdivo is a JOKE ! My husband had a heart attack the day of his second treatment and died the following week because he could not undergo surgery due to being so weak. We were not aware of some of the side effects. After his death I owed more to the cancer center than the hospital due to the fact that this immunotherapy drug cost $16,000 per treatment even though medicare and the supplement helped pay. The ONLY ones who benefit from these drugs are the drug makers. I honestly do not know a single cancer patient that immunotherapy has saved."""
Medroxyprogesterone,Abnormal Uterine Bleeding,5,"Depo Provera (medroxyprogesterone)""I had been on the Depo-Provera injection for 10 years but unfortunately I had to stop taking it as I had a DVT in my leg last July which was misdiagnosed for Cellulitis and given antibiotics which then resulted in PE's in both lungs, I ended up in hospital for 4 days, my right ventricle had swollen and was struggling to pump oxygen round my body, I was lucky as I do a lot of fitness and my heart was healthy so recovered within 2 weeks thankfully. So I am not to take the Depo anymore so my last injection was October last year, well what a nightmare  of a time I am having, my breasts are sore for about a week every month, getting frequent headaches, I never know when I am going to bleed as it happens beginning, middle and end of month, luckily I have not been caught short, but as I write this I have been bleeding for 9 days solid and it is not letting up, blood still very red, slighting clotting on day 2 or 3 but coming off Depo-Provera has been such a nightmare for me."""
Otezla,Psoriatic Arthritis,3,"""I gave it a try for 2 months, but the abdominal pain, diarrhea, and pounding headaches never went away.  I verified that you can cut the pills to try to taper up the dosage and they start you on smaller dosed pills to begin with anyway.  After 2 months I never got up to the full dose and my side effects never got better.  I did try taking the full dose and had rapid diarrhea and had a pounding headache that lasted 3 days.  It was less successful than 3 of the 4 TNF-alpha inhibitors I had tried and less effective than Xeljanz (tofacitinib) at treating my psoriatic arthritis."""
Adderall,ADHD,7,"""Started Adderall 2 weeks ago. I am still trying to find the right dose. Doctor said ""start with 10mg morning and afternoon but if that's to much take 5mg morning and afternoon"" I'm finding if I take 10mgs and my day is really busy I am fine but if my day is not than I notice my heart rate and a need to be doing something. I'm not sure about this medicine yet but willing to give it a little more time. I just want to know if the feeling of needing to be busy will end."""
Paragard,Birth Control,10,"""I'm a younger woman (18) and I got my ParaGard IUD about 2 and a half months ago. I really psyched myself out about insertion but mine was relatively painless with a super quick twinge. On hormonal birth control I experienced heightened depression and anxiety. I feel much more myself on ParaGard because there are no hormones involved. As for periods, I have experienced no cramping but 3-4 extremely heavy days (soaking a super plus tampon every hour and a half) and then 2-3 very light days. I've heard periods get better the longer you have had the IUD. I'm about to be a college freshman an university and I feel very confident in the efficacy of this device. Excited to be baby free for up to 12 years. Recommend for teens & anyone on the fence"""
